,y,x,HLdynamic,Li2011,Helsen2008,Arthern2010S,Goujon2003,Barnola1991,KuipersMunneke2015,Simonsen2013,Crocus,Arthern2010T
122,63.49,-42.74,-0.00038201000000001595,-0.008843000000000018,-0.0016391500000000059,,-0.029309150000000006,-0.011170790000000014,4.016999999997828e-05,-0.00206843000000001,-0.40259661,
123,72.79,-40.86,0.011479679999999992,0.010348649999999987,0.010460300000000006,0.010401259999999996,-0.35742718,-0.33391838,0.01124138999999999,0.011266169999999992,-0.39162928,
124,66.76,-44.14,-0.0031703100000000095,-0.004442750000000023,-0.006360560000000015,-0.0012389100000000097,-0.07097156000000002,-0.028097570000000016,-0.0037265600000000176,-0.0026166999999999996,-0.297277295,
125,80.71,-35.8,-0.012104370000000003,-0.013940540000000001,-0.015789620000000004,-0.014982380000000017,-0.047010579999999996,-0.023942729999999995,-0.012685890000000005,-0.013069319999999995,-0.16534069,
126,72.44,-42.56,0.005318760000000006,0.005488380000000015,0.0057676399999999906,0.005604040000000005,-0.262630425,-0.239597953,0.007351410000000003,0.006448389999999998,-0.39699698,
127,70.08,-40.48,0.0014822800000000025,0.0005017800000000072,0.0012616799999999873,0.0010057199999999877,-0.138840025,0.00333137,0.003661830000000005,0.0026067999999999925,-0.40191024,
128,71.53,-39.27,-6.928999999999963e-05,-0.0026715499999999948,-0.0025520399999999777,-0.002487529999999988,-0.14049451999999998,-0.075345,-0.0008484499999999728,-0.0006660899999999803,-0.40520997999999997,
129,62.55,-43.77,0.0037278600000000004,,,,,0.107093854,-0.075341886,0.038076361,-0.228445816,
130,80.58,-42.25,-0.002086349999999987,-0.002364839999999979,-0.002753759999999994,-0.002676159999999983,-0.35747985,-0.37421713,-0.0027690799999999793,-0.0026172199999999757,-0.40171213,
131,65.89,-47.12,-0.0026622699999999944,-0.004887849999999999,-0.005377860000000012,-0.00230495,-0.03707185000000002,-0.020971790000000018,-0.002187880000000003,-0.00178076000000002,-0.02370555000000002,-0.13041157
132,73.32,-34.24,-0.010207380000000016,-0.010791309999999998,-0.012450000000000017,-0.012019909999999995,-0.04606921,-0.06937843000000002,-0.010225079999999998,-0.010449480000000011,-0.40076875,
133,76.02,-48.27,0.003232150000000017,0.003506330000000002,0.002797790000000022,0.003450019999999998,-0.03622834999999999,-0.03110591999999998,0.0043152500000000205,0.0038792399999999783,-0.38613239,
134,80.11,-44.29,0.017772570000000015,0.018020019999999998,0.01794030000000002,0.01857150000000002,-0.3577365,-0.37008029,0.017761660000000012,0.017805020000000005,-0.37888277,
135,61.64,-42.86,0.0017562900000000006,,,,,0.129372596,-0.080854348,0.012141116000000004,-0.158761894,
136,70.84,-43.28,0.007774320000000001,0.007634620000000009,0.011739739999999999,0.008246580000000003,-0.11589430999999999,-0.0011068199999999806,0.012025560000000018,0.009603240000000013,-0.38471922999999997,
137,80.73,-47.66,0.207246502,0.21470334200000002,0.214822792,0.21533981200000002,-0.166417608,-0.16954160799999998,0.20488857200000002,0.20311110200000002,-0.160411888,
138,73.54,-49.16,0.02030153999999998,0.02563963999999999,0.027276109999999992,0.025231539999999997,-0.32466604,-0.12915653800000002,0.024802240000000003,0.022852579999999983,-0.36598985,
139,63.86,-44.54,0.0037076500000000068,0.004134179999999987,0.004458870000000004,0.004929349999999999,-0.39890061,0.004139349999999986,0.005570019999999981,0.004886689999999999,-0.39279509,
140,72.97,-40.71,0.01563937999999998,0.014614390000000005,0.01456159999999998,0.01470929999999998,-0.35386958,-0.3381278,0.015400159999999996,0.01546649,-0.38725757,
141,77.98,-40.44,-0.00872800999999998,-0.010358289999999992,-0.01207148999999999,-0.011164709999999994,-0.11691217999999999,-0.1635801,-0.008618769999999998,-0.009122539999999985,-0.40476776,
142,74.57,-51.42,0.005431820000000004,0.006892740000000008,0.009017170000000019,0.005391150000000011,-0.12798217,-0.038074140000000006,0.007439790000000002,0.006809370000000009,-0.37226513,
143,69.67,-69.04,1.2490000000003887e-05,0.019102130000000023,0.003943040000000009,0.010008250000000024,-0.34132427,0.008372920000000006,0.0038414100000000173,0.00935416,-0.34439633999999997,
144,75.57,-44.05,0.004413529999999999,0.004353990000000002,0.0036703999999999903,0.00468906999999999,-0.08810185000000001,-0.07834563,0.005044090000000001,0.005075599999999986,-0.39151247,
145,70.59,-43.94,0.006642949999999981,0.00606973999999999,0.01110008999999998,0.006886759999999992,-0.158127704,0.002615789999999979,0.010971060000000005,0.00865527999999996,-0.38289902,
